Call Date,Custom Grouping,counts
01/05/2019,Rescue,15
01/05/2019,Various Other,11
01/06/2010,Aid Other Agency,10
01/06/2010,Chemical / Electrical,9
01/06/2010,Fire,142
01/06/2010,Medical,452
01/06/2010,Misc Emergency,35
01/06/2010,Rescue,1
01/06/2010,Various Other,14
01/06/2011,Aid Other Agency,12
01/06/2011,Chemical / Electrical,4
01/06/2011,Fire,191
01/06/2011,Medical,490
01/06/2011,Misc Emergency,37
01/06/2011,Rescue,3
01/06/2011,Various Other,32
01/06/2012,Aid Other Agency,10
01/06/2012,Chemical / Electrical,6
01/06/2012,Fire,147
01/06/2012,Medical,503
01/06/2012,Misc Emergency,18
01/06/2012,Rescue,3
01/06/2012,Various Other,5
01/06/2013,Aid Other Agency,10
01/06/2013,Chemical / Electrical,1
01/06/2013,Fire,176
01/06/2013,Medical,454
01/06/2013,Misc Emergency,16
01/06/2013,Rescue,10
01/06/2013,Various Other,7
01/06/2014,Aid Other Agency,12
01/06/2014,Chemical / Electrical,9
01/06/2014,Fire,173
01/06/2014,Medical,540
01/06/2014,Misc Emergency,18
01/06/2014,Rescue,19
01/06/2014,Various Other,11
01/06/2015,Aid Other Agency,11
01/06/2015,Chemical / Electrical,18
01/06/2015,Fire,169
01/06/2015,Medical,592
01/06/2015,Misc Emergency,34
01/06/2015,Rescue,10
01/06/2015,Various Other,4
01/06/2016,Aid Other Agency,12
01/06/2016,Chemical / Electrical,8
01/06/2016,Fire,171
01/06/2016,Medical,627
01/06/2016,Misc Emergency,47
01/06/2016,Rescue,28
01/06/2016,Various Other,10
01/06/2017,Aid Other Agency,11
01/06/2017,Chemical / Electrical,8
01/06/2017,Fire,205
01/06/2017,Medical,619
01/06/2017,Misc Emergency,32
01/06/2017,Various Other,10
01/06/2018,Aid Other Agency,21
01/06/2018,Chemical / Electrical,18
01/06/2018,Fire,192
01/06/2018,Medical,643
01/06/2018,Misc Emergency,34
01/06/2018,Rescue,20
01/06/2018,Various Other,13
01/06/2019,Aid Other Agency,21
01/06/2019,Chemical / Electrical,27
01/06/2019,Fire,237
01/06/2019,Medical,578
01/06/2019,Misc Emergency,19
01/06/2019,Rescue,1
01/06/2019,Various Other,23
01/07/2010,Aid Other Agency,16
01/07/2010,Chemical / Electrical,17
01/07/2010,Fire,218
01/07/2010,Medical,419
01/07/2010,Misc Emergency,26
01/07/2010,Various Other,12
01/07/2011,Aid Other Agency,16
01/07/2011,Chemical / Electrical,13
01/07/2011,Fire,262
01/07/2011,Medical,478
01/07/2011,Misc Emergency,34
01/07/2011,Rescue,3
01/07/2011,Various Other,12
01/07/2012,Aid Other Agency,7
01/07/2012,Chemical / Electrical,1
01/07/2012,Fire,216
01/07/2012,Medical,432
01/07/2012,Misc Emergency,38
01/07/2012,Rescue,8
01/07/2012,Various Other,17
01/07/2013,Aid Other Agency,6
01/07/2013,Chemical / Electrical,7
01/07/2013,Fire,204
01/07/2013,Medical,519
01/07/2013,Misc Emergency,37
01/07/2013,Rescue,10
01/07/2013,Various Other,7
01/07/2014,Aid Other Agency,4
01/07/2014,Chemical / Electrical,9
01/07/2014,Fire,181
01/07/2014,Medical,479
01/07/2014,Misc Emergency,24
01/07/2014,Rescue,3
01/07/2014,Various Other,18
01/07/2015,Aid Other Agency,19
01/07/2015,Chemical / Electrical,12
01/07/2015,Fire,209
01/07/2015,Medical,550
01/07/2015,Misc Emergency,37
01/07/2015,Rescue,3
01/07/2015,Various Other,9
01/07/2016,Aid Other Agency,13
01/07/2016,Chemical / Electrical,8
01/07/2016,Fire,182
01/07/2016,Medical,519
01/07/2016,Misc Emergency,37
01/07/2016,Various Other,11
01/07/2017,Aid Other Agency,15
01/07/2017,Chemical / Electrical,7
01/07/2017,Fire,259
01/07/2017,Medical,614
01/07/2017,Misc Emergency,50
01/07/2017,Rescue,20
01/07/2017,Various Other,11
01/07/2018,Aid Other Agency,23
01/07/2018,Chemical / Electrical,14
01/07/2018,Fire,209
01/07/2018,Medical,633
01/07/2018,Misc Emergency,21
01/07/2018,Rescue,3
01/07/2018,Various Other,20
01/07/2019,Aid Other Agency,13
01/07/2019,Chemical / Electrical,5
01/07/2019,Fire,183
01/07/2019,Medical,646
01/07/2019,Misc Emergency,30
01/07/2019,Various Other,8
01/08/2010,Aid Other Agency,2
01/08/2010,Chemical / Electrical,12
01/08/2010,Fire,165
01/08/2010,Medical,467
01/08/2010,Misc Emergency,24
01/08/2010,Rescue,12
01/08/2010,Various Other,11
01/08/2011,Aid Other Agency,8
01/08/2011,Chemical / Electrical,7
01/08/2011,Fire,205
01/08/2011,Medical,430
01/08/2011,Misc Emergency,28
01/08/2011,Rescue,12
01/08/2011,Various Other,13
01/08/2012,Aid Other Agency,7
01/08/2012,Chemical / Electrical,10
01/08/2012,Fire,308
01/08/2012,Medical,453
01/08/2012,Misc Emergency,13
01/08/2012,Various Other,8
01/08/2013,Aid Other Agency,17
01/08/2013,Chemical / Electrical,8
01/08/2013,Fire,176
01/08/2013,Medical,536
01/08/2013,Misc Emergency,40
01/08/2013,Rescue,3
01/08/2013,Various Other,12
01/08/2014,Aid Other Agency,9
01/08/2014,Chemical / Electrical,2
01/08/2014,Fire,132
01/08/2014,Medical,519
01/08/2014,Misc Emergency,35
01/08/2014,Various Other,14
01/08/2015,Aid Other Agency,14
01/08/2015,Chemical / Electrical,3
01/08/2015,Fire,243
01/08/2015,Medical,640
01/08/2015,Misc Emergency,18
01/08/2015,Rescue,1
01/08/2015,Various Other,10
01/08/2016,Aid Other Agency,4
01/08/2016,Chemical / Electrical,15
01/08/2016,Fire,165
01/08/2016,Medical,642
01/08/2016,Misc Emergency,44
01/08/2016,Rescue,4
01/08/2016,Various Other,8
01/08/2017,Aid Other Agency,57
01/08/2017,Chemical / Electrical,88
01/08/2017,Fire,307
01/08/2017,Medical,554
01/08/2017,Misc Emergency,26
01/08/2017,Rescue,33
01/08/2017,Various Other,76
01/08/2018,Aid Other Agency,32
01/08/2018,Chemical / Electrical,21
01/08/2018,Fire,232
01/08/2018,Medical,606
01/08/2018,Misc Emergency,73
01/08/2018,Rescue,4
01/08/2018,Various Other,17
01/08/2019,Aid Other Agency,14
01/08/2019,Chemical / Electrical,5
01/08/2019,Fire,155
01/08/2019,Medical,568
01/08/2019,Misc Emergency,25
01/08/2019,Rescue,5
01/08/2019,Various Other,4
01/09/2010,Aid Other Agency,10
01/09/2010,Chemical / Electrical,3
01/09/2010,Fire,141
01/09/2010,Medical,375
01/09/2010,Misc Emergency,41
01/09/2010,Rescue,13
01/09/2010,Various Other,5
01/09/2011,Aid Other Agency,7
01/09/2011,Chemical / Electrical,23
01/09/2011,Fire,230
01/09/2011,Medical,451
01/09/2011,Misc Emergency,46
01/09/2011,Rescue,3
01/09/2011,Various Other,10
01/09/2012,Aid Other Agency,20
01/09/2012,Chemical / Electrical,12
01/09/2012,Fire,273
01/09/2012,Medical,502
01/09/2012,Misc Emergency,19
01/09/2012,Rescue,13
01/09/2012,Various Other,4
01/09/2013,Aid Other Agency,9
01/09/2013,Chemical / Electrical,23
01/09/2013,Fire,188
01/09/2013,Medical,444
01/09/2013,Misc Emergency,22
01/09/2013,Rescue,1
01/09/2013,Various Other,5
01/09/2014,Aid Other Agency,12
01/09/2014,Chemical / Electrical,11
01/09/2014,Fire,153
01/09/2014,Medical,529
01/09/2014,Misc Emergency,35
01/09/2014,Rescue,2
01/09/2014,Various Other,6
01/09/2015,Aid Other Agency,7
01/09/2015,Chemical / Electrical,9
01/09/2015,Fire,206
01/09/2015,Medical,563
01/09/2015,Misc Emergency,26
01/09/2015,Rescue,28
01/09/2015,Various Other,10
01/09/2016,Aid Other Agency,5
01/09/2016,Chemical / Electrical,9
01/09/2016,Fire,167
01/09/2016,Medical,565
01/09/2016,Misc Emergency,38
01/09/2016,Rescue,1
01/09/2016,Various Other,10
01/09/2017,Aid Other Agency,11
01/09/2017,Chemical / Electrical,16
01/09/2017,Fire,161
01/09/2017,Medical,617
01/09/2017,Misc Emergency,45
01/09/2017,Rescue,2
01/09/2017,Various Other,24
01/09/2018,Aid Other Agency,14
01/09/2018,Chemical / Electrical,13
01/09/2018,Fire,238
01/09/2018,Medical,605
01/09/2018,Misc Emergency,37
01/09/2018,Rescue,1
01/09/2018,Various Other,11
01/09/2019,Aid Other Agency,2
01/09/2019,Chemical / Electrical,15
01/09/2019,Fire,199
01/09/2019,Medical,567
01/09/2019,Misc Emergency,10
01/09/2019,Rescue,1
01/09/2019,Various Other,8
01/10/2010,Aid Other Agency,12
01/10/2010,Chemical / Electrical,4
01/10/2010,Fire,156
01/10/2010,Medical,378
01/10/2010,Misc Emergency,18
01/10/2010,Rescue,10
01/10/2010,Various Other,11
01/10/2011,Aid Other Agency,16
01/10/2011,Chemical / Electrical,13
01/10/2011,Fire,210
01/10/2011,Medical,527
01/10/2011,Misc Emergency,31
01/10/2011,Rescue,2
01/10/2011,Various Other,14
01/10/2012,Aid Other Agency,7
01/10/2012,Chemical / Electrical,11
01/10/2012,Fire,192
01/10/2012,Medical,491
01/10/2012,Misc Emergency,19
01/10/2012,Rescue,1
01/10/2012,Various Other,9
01/10/2013,Aid Other Agency,12
01/10/2013,Chemical / Electrical,15
01/10/2013,Fire,157
01/10/2013,Medical,434
01/10/2013,Misc Emergency,36
01/10/2013,Rescue,1
01/10/2013,Various Other,12
01/10/2014,Aid Other Agency,10
01/10/2014,Chemical / Electrical,11
01/10/2014,Fire,214
01/10/2014,Medical,514
01/10/2014,Misc Emergency,37
01/10/2014,Rescue,1
01/10/2014,Various Other,9
01/10/2015,Aid Other Agency,10
01/10/2015,Chemical / Electrical,14
01/10/2015,Fire,194
01/10/2015,Medical,595
01/10/2015,Misc Emergency,22
01/10/2015,Rescue,18
01/10/2015,Various Other,17
01/10/2016,Aid Other Agency,8
01/10/2016,Chemical / Electrical,11
01/10/2016,Fire,185
01/10/2016,Medical,508
01/10/2016,Misc Emergency,28
01/10/2016,Rescue,10
01/10/2016,Various Other,3
01/10/2017,Aid Other Agency,39
01/10/2017,Chemical / Electrical,42
01/10/2017,Fire,250
01/10/2017,Medical,653
01/10/2017,Misc Emergency,27
01/10/2017,Rescue,4
01/10/2017,Various Other,52
01/10/2018,Aid Other Agency,18
01/10/2018,Chemical / Electrical,7
01/10/2018,Fire,230
01/10/2018,Medical,570
01/10/2018,Misc Emergency,31
01/10/2018,Rescue,2
01/10/2018,Various Other,4
01/11/2010,Aid Other Agency,12
01/11/2010,Chemical / Electrical,11
01/11/2010,Fire,145
01/11/2010,Medical,377
01/11/2010,Misc Emergency,12
01/11/2010,Various Other,13
01/11/2011,Aid Other Agency,14
01/11/2011,Chemical / Electrical,14
01/11/2011,Fire,145
01/11/2011,Medical,440
01/11/2011,Misc Emergency,21
01/11/2011,Rescue,1
01/11/2011,Various Other,7
01/11/2012,Aid Other Agency,4
01/11/2012,Chemical / Electrical,14
01/11/2012,Fire,156
01/11/2012,Medical,398
01/11/2012,Misc Emergency,23
01/11/2012,Rescue,13
01/11/2012,Various Other,6
01/11/2013,Aid Other Agency,5
01/11/2013,Chemical / Electrical,1
01/11/2013,Fire,202
01/11/2013,Medical,466
01/11/2013,Misc Emergency,31
01/11/2013,Rescue,3
01/11/2013,Various Other,9
01/11/2014,Aid Other Agency,10
01/11/2014,Chemical / Electrical,6
01/11/2014,Fire,183
01/11/2014,Medical,420
01/11/2014,Misc Emergency,40
01/11/2014,Rescue,28
01/11/2014,Various Other,12
01/11/2015,Aid Other Agency,8
01/11/2015,Chemical / Electrical,8
01/11/2015,Fire,140
01/11/2015,Medical,595
01/11/2015,Misc Emergency,21
01/11/2015,Rescue,2
01/11/2015,Various Other,4
01/11/2016,Aid Other Agency,8
01/11/2016,Chemical / Electrical,9
01/11/2016,Fire,161
01/11/2016,Medical,525
01/11/2016,Misc Emergency,20
01/11/2016,Rescue,4
01/11/2016,Various Other,10
01/11/2017,Aid Other Agency,17
01/11/2017,Chemical / Electrical,16
01/11/2017,Fire,167
01/11/2017,Medical,620
01/11/2017,Misc Emergency,59
01/11/2017,Rescue,8
01/11/2017,Various Other,27
01/11/2018,Aid Other Agency,16
01/11/2018,Chemical / Electrical,7
01/11/2018,Fire,207
01/11/2018,Medical,561
01/11/2018,Misc Emergency,26
01/11/2018,Rescue,5
01/11/2018,Various Other,14
01/12/2010,Aid Other Agency,1
01/12/2010,Chemical / Electrical,2
01/12/2010,Fire,196
01/12/2010,Medical,395
01/12/2010,Misc Emergency,36
01/12/2010,Rescue,1
01/12/2010,Various Other,8
01/12/2011,Aid Other Agency,6
01/12/2011,Chemical / Electrical,7
01/12/2011,Fire,146
01/12/2011,Medical,496
01/12/2011,Misc Emergency,20
01/12/2011,Rescue,15
01/12/2011,Various Other,11
01/12/2012,Aid Other Agency,8
01/12/2012,Chemical / Electrical,5
01/12/2012,Fire,176
01/12/2012,Medical,448
01/12/2012,Misc Emergency,39
01/12/2012,Rescue,4
01/12/2012,Various Other,12
01/12/2013,Aid Other Agency,17
01/12/2013,Chemical / Electrical,10
01/12/2013,Fire,242
01/12/2013,Medical,488
01/12/2013,Misc Emergency,28
01/12/2013,Various Other,8
01/12/2014,Aid Other Agency,7
01/12/2014,Chemical / Electrical,4
01/12/2014,Fire,131
01/12/2014,Medical,463
01/12/2014,Misc Emergency,37
01/12/2014,Rescue,2
01/12/2014,Various Other,10
01/12/2015,Aid Other Agency,7
01/12/2015,Chemical / Electrical,5
01/12/2015,Fire,148
01/12/2015,Medical,593
01/12/2015,Misc Emergency,27
01/12/2015,Rescue,1
01/12/2015,Various Other,4
01/12/2016,Aid Other Agency,8
01/12/2016,Chemical / Electrical,6
01/12/2016,Fire,106
01/12/2016,Medical,641
01/12/2016,Misc Emergency,31
01/12/2016,Rescue,4
01/12/2016,Various Other,7
01/12/2017,Aid Other Agency,18
01/12/2017,Chemical / Electrical,8
01/12/2017,Fire,175
01/12/2017,Medical,647
01/12/2017,Misc Emergency,28
01/12/2017,Rescue,7
01/12/2017,Various Other,16
01/12/2018,Aid Other Agency,4
01/12/2018,Chemical / Electrical,17
01/12/2018,Fire,176
01/12/2018,Medical,617
01/12/2018,Misc Emergency,41
01/12/2018,Various Other,12
01/12/2019,Aid Other Agency,11
01/12/2019,Chemical / Electrical,12
01/12/2019,Fire,193
01/12/2019,Medical,521
01/12/2019,Misc Emergency,30
01/12/2019,Rescue,19
01/12/2019,Various Other,13
01/13/2010,Aid Other Agency,9
01/13/2010,Chemical / Electrical,4
01/13/2010,Fire,152
01/13/2010,Medical,375
01/13/2010,Misc Emergency,4
01/13/2010,Rescue,1
01/13/2010,Various Other,7
01/13/2011,Aid Other Agency,6
01/13/2011,Chemical / Electrical,6
01/13/2011,Fire,156
01/13/2011,Medical,503
01/13/2011,Misc Emergency,37
01/13/2011,Various Other,21
01/13/2012,Aid Other Agency,8
01/13/2012,Chemical / Electrical,12
01/13/2012,Fire,187
01/13/2012,Medical,407
01/13/2012,Misc Emergency,33
01/13/2012,Rescue,12
01/13/2012,Various Other,3
01/13/2013,Aid Other Agency,19
01/13/2013,Chemical / Electrical,12
01/13/2013,Fire,172
01/13/2013,Medical,509
01/13/2013,Misc Emergency,8
01/13/2013,Rescue,4
01/13/2013,Various Other,7
01/13/2014,Aid Other Agency,10
01/13/2014,Chemical / Electrical,11
01/13/2014,Fire,125
01/13/2014,Medical,505
01/13/2014,Misc Emergency,36
01/13/2014,Rescue,1
01/13/2014,Various Other,21
01/13/2015,Aid Other Agency,22
01/13/2015,Chemical / Electrical,17
01/13/2015,Fire,185
01/13/2015,Medical,550
01/13/2015,Misc Emergency,26
01/13/2015,Rescue,1
01/13/2015,Various Other,18
01/13/2016,Aid Other Agency,11
01/13/2016,Chemical / Electrical,16
01/13/2016,Fire,179
01/13/2016,Medical,530
01/13/2016,Misc Emergency,64
01/13/2016,Rescue,2
01/13/2016,Various Other,24
01/13/2017,Aid Other Agency,10
01/13/2017,Chemical / Electrical,21
01/13/2017,Fire,275
01/13/2017,Medical,631
01/13/2017,Misc Emergency,53
01/13/2017,Rescue,15
01/13/2017,Various Other,14
01/13/2018,Aid Other Agency,6
01/13/2018,Chemical / Electrical,5
01/13/2018,Fire,130
01/13/2018,Medical,594
01/13/2018,Misc Emergency,39
01/13/2018,Rescue,24
01/13/2018,Various Other,11
01/13/2019,Aid Other Agency,8
01/13/2019,Chemical / Electrical,8
01/13/2019,Fire,157
01/13/2019,Medical,509
01/13/2019,Misc Emergency,36
01/13/2019,Rescue,3
01/13/2019,Various Other,12
01/14/2010,Aid Other Agency,14
01/14/2010,Chemical / Electrical,8
01/14/2010,Fire,134
01/14/2010,Medical,447
01/14/2010,Misc Emergency,28
01/14/2010,Rescue,19
01/14/2010,Various Other,8
01/14/2011,Aid Other Agency,11
01/14/2011,Chemical / Electrical,3
01/14/2011,Fire,215
01/14/2011,Medical,518
01/14/2011,Misc Emergency,33
01/14/2011,Rescue,1
01/14/2011,Various Other,8
